,dataset_name,ACF&PACF: n_random_points=10 nb_inst_per_class=1,ACF&PACF: n_random_points=10 nb_inst_per_class=10,ACF&PACF: n_random_points=30 nb_inst_per_class=1,ACF&PACF: n_random_points=30 nb_inst_per_class=10,Max PACF: n_random_points=10 nb_inst_per_class=1,Max PACF: n_random_points=10 nb_inst_per_class=10,Max PACF: n_random_points=30 nb_inst_per_class=1,Max PACF: n_random_points=30 nb_inst_per_class=10,None: n_random_points=10 nb_inst_per_class=1,None: n_random_points=10 nb_inst_per_class=10,None: n_random_points=30 nb_inst_per_class=1,None: n_random_points=30 nb_inst_per_class=10
0,ACSF1,0.34,0.29,0.31,0.29,0.41,0.34,0.38,0.3,0.44,0.31,0.42,0.28
1,Adiac,0.65,0.63,0.64,0.6,0.72,0.54,0.5,0.56,0.72,0.65,0.62,0.66
2,AllGestureWiimoteX,0.56,0.67,0.62,0.68,0.49,0.53,0.46,0.6,0.45,0.48,0.45,0.55
3,AllGestureWiimoteY,0.58,0.71,0.64,0.72,0.52,0.52,0.49,0.66,0.5,0.49,0.45,0.56
4,AllGestureWiimoteZ,0.47,0.63,0.56,0.63,0.45,0.35,0.45,0.52,0.43,0.35,0.4,0.43
5,ArrowHead,0.76,0.78,0.76,0.78,0.73,0.73,0.68,0.75,0.73,0.7,0.66,0.72
6,BME,0.93,0.95,0.93,0.95,0.79,0.87,0.79,0.89,0.75,0.89,0.76,0.9
7,Beef,0.47,0.48,0.43,0.49,0.34,0.43,0.31,0.43,0.33,0.46,0.36,0.44
8,BeetleFly,0.72,0.85,0.75,0.85,0.6,0.83,0.56,0.82,0.65,0.71,0.62,0.74
9,BirdChicken,0.74,0.82,0.72,0.8,0.69,0.76,0.65,0.77,0.66,0.64,0.75,0.7
10,CBF,0.99,0.98,0.99,0.99,0.89,0.98,0.96,0.99,0.79,0.99,0.86,0.99
11,Car,0.9,0.92,0.91,0.92,0.82,0.84,0.81,0.85,0.81,0.84,0.8,0.86
12,Chinatown,0.9,0.95,0.9,0.93,0.92,0.97,0.91,0.96,0.86,0.95,0.84,0.95
13,ChlorineConcentration,0.66,0.75,0.7,0.77,0.56,0.62,0.57,0.67,0.57,0.63,0.57,0.7
14,CinCECGTorso,0.87,0.93,0.87,0.93,0.59,0.89,0.76,0.89,0.6,0.9,0.72,0.91
15,Coffee,0.98,1.0,1.0,1.0,0.99,1.0,0.99,0.98,0.95,1.0,0.95,1.0
16,Computers,0.63,0.67,0.64,0.68,0.66,0.68,0.64,0.58,0.64,0.65,0.63,0.63
17,CricketX,0.75,0.82,0.77,0.82,0.69,0.76,0.71,0.79,0.66,0.72,0.68,0.77
18,CricketY,0.71,0.78,0.73,0.78,0.67,0.71,0.7,0.74,0.63,0.69,0.65,0.73
19,CricketZ,0.73,0.81,0.75,0.81,0.68,0.75,0.72,0.78,0.65,0.74,0.67,0.77
20,Crop,0.69,0.62,0.7,0.7,0.66,0.71,0.68,0.72,0.67,0.73,0.69,0.73
21,DiatomSizeReduction,0.97,0.98,0.97,0.98,0.96,0.99,0.98,0.98,0.93,0.96,0.94,0.95
22,DistalPhalanxOutlineAgeGroup,0.82,0.76,0.78,0.74,0.81,0.82,0.82,0.78,0.79,0.82,0.8,0.79
23,DistalPhalanxOutlineCorrect,0.79,0.78,0.78,0.77,0.76,0.79,0.77,0.78,0.76,0.81,0.76,0.81
24,DistalPhalanxTW,0.77,0.74,0.77,0.73,0.77,0.76,0.77,0.74,0.76,0.78,0.77,0.75
25,DodgerLoopDay,0.48,0.48,0.5,0.46,0.45,0.46,0.33,0.44,0.48,0.49,0.34,0.52
26,DodgerLoopGame,0.8,0.78,0.81,0.77,0.7,0.73,0.75,0.73,0.64,0.82,0.69,0.8
27,DodgerLoopWeekend,0.96,0.97,0.95,0.97,0.91,0.96,0.93,0.96,0.86,0.96,0.85,0.97
28,ECG200,0.81,0.86,0.81,0.86,0.82,0.83,0.83,0.84,0.77,0.84,0.77,0.86
29,ECG5000,0.92,0.94,0.93,0.94,0.93,0.94,0.93,0.92,0.93,0.94,0.93,0.91
30,ECGFiveDays,0.75,0.99,0.74,1.0,0.7,0.97,0.74,1.0,0.88,0.99,0.95,0.99
31,EOGHorizontalSignal,0.62,0.66,0.63,0.67,0.58,0.57,0.59,0.62,0.6,0.59,0.62,0.65
32,EOGVerticalSignal,0.63,0.68,0.64,0.68,0.58,0.52,0.6,0.6,0.58,0.53,0.61,0.61
33,Earthquakes,0.66,0.73,0.7,0.73,0.78,0.76,0.78,0.6,0.78,0.76,0.78,0.63
34,ElectricDevices,0.8,0.82,0.82,0.54,0.68,0.8,0.72,0.81,0.67,0.81,0.71,0.81
35,EthanolLevel,0.54,0.6,0.55,0.6,0.3,0.4,0.36,0.43,0.41,0.44,0.34,0.52
36,FaceAll,0.97,0.99,0.98,0.99,0.94,0.98,0.96,0.98,0.92,0.97,0.93,0.98
37,FaceFour,1.0,1.0,1.0,1.0,0.94,1.0,0.98,1.0,0.79,0.98,0.89,0.98
38,FacesUCR,0.94,0.95,0.94,0.95,0.9,0.94,0.87,0.94,0.83,0.92,0.81,0.93
39,FiftyWords,0.71,0.72,0.71,0.72,0.35,0.67,0.6,0.68,0.5,0.7,0.61,0.71
40,Fish,0.95,0.97,0.95,0.97,0.9,0.92,0.92,0.92,0.85,0.91,0.91,0.93
41,FordA,0.9,0.85,0.71,0.87,0.68,0.85,0.73,0.85,0.7,0.88,0.71,0.9
42,FordB,0.89,0.84,0.69,0.86,0.69,0.85,0.7,0.86,0.66,0.88,0.66,0.88
43,FreezerRegularTrain,0.94,0.97,0.94,0.97,0.92,0.97,0.93,0.97,0.93,0.98,0.9,0.97
44,FreezerSmallTrain,0.87,0.85,0.86,0.86,0.83,0.82,0.89,0.85,0.83,0.83,0.8,0.83
45,Fungi,0.59,0.59,0.59,0.59,0.59,0.59,0.58,0.58,0.57,0.57,0.57,0.57
46,GestureMidAirD1,0.6,0.65,0.61,0.64,0.49,0.53,0.37,0.57,0.37,0.54,0.41,0.55
47,GestureMidAirD2,0.48,0.53,0.51,0.53,0.41,0.41,0.33,0.44,0.44,0.43,0.35,0.49
48,GestureMidAirD3,0.3,0.35,0.3,0.36,0.21,0.3,0.2,0.3,0.2,0.29,0.21,0.32
49,GesturePebbleZ1,0.83,0.93,0.87,0.93,0.83,0.87,0.67,0.91,0.85,0.91,0.67,0.92
50,GesturePebbleZ2,0.85,0.94,0.87,0.94,0.87,0.9,0.74,0.94,0.88,0.93,0.67,0.94
51,GunPoint,0.95,0.98,0.96,0.99,0.89,0.95,0.86,0.95,0.87,0.94,0.83,0.95
52,GunPointAgeSpan,0.95,0.97,0.94,0.98,0.88,0.95,0.89,0.95,0.85,0.94,0.87,0.95
53,GunPointMaleVersusFemale,0.97,0.99,0.98,0.99,0.96,0.97,0.96,0.97,0.95,0.97,0.95,0.97
54,GunPointOldVersusYoung,0.92,0.97,0.93,0.98,0.83,0.94,0.87,0.91,0.76,0.95,0.88,0.92
55,Ham,0.73,0.81,0.73,0.81,0.67,0.69,0.71,0.69,0.68,0.71,0.71,0.74
56,HandOutlines,0.82,0.85,0.84,0.86,0.9,0.92,0.91,0.92,0.88,0.92,0.89,0.92
57,Haptics,0.44,0.49,0.45,0.48,0.44,0.36,0.45,0.38,0.46,0.41,0.45,0.43
58,Herring,0.55,0.59,0.6,0.6,0.63,0.48,0.61,0.48,0.61,0.55,0.58,0.52
59,HouseTwenty,0.77,0.79,0.8,0.77,0.65,0.73,0.58,0.73,0.68,0.78,0.56,0.75
60,InlineSkate,0.32,0.34,0.31,0.34,0.31,0.29,0.24,0.27,0.3,0.3,0.24,0.3
61,InsectEPGRegularTrain,0.88,0.91,0.89,0.91,0.8,0.84,0.58,0.86,0.76,0.81,0.76,0.82
62,InsectEPGSmallTrain,0.59,0.69,0.62,0.69,0.6,0.68,0.62,0.68,0.49,0.58,0.57,0.59
63,InsectWingbeatSound,0.49,0.55,0.5,0.55,0.59,0.48,0.32,0.51,0.6,0.51,0.35,0.54
64,ItalyPowerDemand,0.94,0.96,0.93,0.96,0.93,0.96,0.93,0.96,0.91,0.96,0.9,0.96
65,LargeKitchenAppliances,0.64,0.74,0.67,0.75,0.56,0.71,0.65,0.59,0.55,0.65,0.59,0.58
66,Lightning2,0.67,0.75,0.68,0.75,0.66,0.7,0.57,0.74,0.66,0.69,0.58,0.72
67,Lightning7,0.7,0.75,0.7,0.75,0.4,0.68,0.52,0.7,0.48,0.63,0.53,0.66
68,Mallat,0.91,0.91,0.91,0.91,0.87,0.87,0.88,0.88,0.86,0.91,0.89,0.92
69,Meat,0.98,0.99,0.98,0.99,0.86,0.98,0.95,0.98,0.84,0.98,0.92,0.97
70,MedicalImages,0.53,0.65,0.57,0.66,0.62,0.55,0.65,0.63,0.64,0.59,0.66,0.64
71,MelbournePedestrian,0.87,0.87,0.87,0.87,0.85,0.88,0.85,0.86,0.85,0.9,0.86,0.88
72,MiddlePhalanxOutlineAgeGroup,0.72,0.71,0.71,0.7,0.72,0.71,0.72,0.7,0.71,0.72,0.73,0.72
73,MiddlePhalanxOutlineCorrect,0.79,0.81,0.79,0.8,0.7,0.77,0.73,0.78,0.7,0.8,0.7,0.81
74,MiddlePhalanxTW,0.57,0.54,0.56,0.53,0.61,0.6,0.62,0.59,0.62,0.57,0.61,0.57
75,MoteStrain,0.79,0.83,0.8,0.84,0.78,0.83,0.76,0.83,0.76,0.88,0.77,0.87
76,OSULeaf,0.67,0.72,0.68,0.71,0.57,0.61,0.6,0.65,0.56,0.57,0.58,0.63
77,OliveOil,0.85,0.87,0.85,0.86,0.78,0.83,0.82,0.83,0.78,0.8,0.81,0.83
78,PLAID,0.71,0.81,0.75,0.82,0.66,0.67,0.72,0.54,0.7,0.4,0.73,0.55
79,PhalangesOutlinesCorrect,0.77,0.8,0.79,0.8,0.68,0.75,0.7,0.78,0.68,0.79,0.7,0.8
80,PickupGestureWiimoteZ,0.63,0.71,0.65,0.7,0.31,0.63,0.53,0.68,0.38,0.58,0.48,0.57
81,Plane,0.99,1.0,1.0,1.0,0.99,0.99,0.98,0.99,0.98,0.99,0.99,0.99
82,PowerCons,0.78,0.87,0.82,0.87,0.78,0.76,0.8,0.83,0.75,0.8,0.81,0.87
83,ProximalPhalanxOutlineAgeGroup,0.83,0.83,0.84,0.83,0.82,0.84,0.83,0.84,0.82,0.84,0.82,0.84
84,ProximalPhalanxOutlineCorrect,0.84,0.86,0.83,0.86,0.77,0.82,0.8,0.82,0.76,0.84,0.8,0.85
85,ProximalPhalanxTW,0.79,0.81,0.8,0.79,0.8,0.8,0.8,0.81,0.79,0.8,0.81,0.8
86,RefrigerationDevices,0.58,0.62,0.59,0.63,0.39,0.49,0.43,0.45,0.43,0.52,0.43,0.48
87,ScreenType,0.41,0.45,0.42,0.46,0.39,0.44,0.4,0.38,0.41,0.44,0.41,0.39
88,ShakeGestureWiimoteZ,0.75,0.8,0.77,0.8,0.39,0.74,0.63,0.78,0.47,0.84,0.7,0.87
89,ShapeletSim,0.89,0.48,0.91,0.48,0.53,0.48,0.51,0.48,0.62,0.52,0.64,0.52
90,ShapesAll,0.7,0.74,0.72,0.74,0.39,0.58,0.42,0.63,0.73,0.68,0.54,0.72
91,SmallKitchenAppliances,0.53,0.73,0.51,0.73,0.64,0.75,0.63,0.54,0.63,0.74,0.63,0.6
92,SmoothSubspace,0.84,0.86,0.85,0.86,0.87,0.84,0.85,0.84,0.75,0.82,0.77,0.83
93,SonyAIBORobotSurface1,0.9,0.95,0.91,0.95,0.87,0.93,0.9,0.93,0.86,0.93,0.87,0.93
94,SonyAIBORobotSurface2,0.86,0.91,0.87,0.9,0.84,0.9,0.83,0.9,0.79,0.89,0.79,0.9
95,Strawberry,0.96,0.95,0.96,0.96,0.9,0.96,0.94,0.95,0.88,0.96,0.91,0.96
96,SwedishLeaf,0.79,0.87,0.83,0.88,0.85,0.66,0.86,0.69,0.86,0.72,0.87,0.78
97,Symbols,0.78,0.78,0.78,0.78,0.72,0.77,0.75,0.78,0.7,0.78,0.73,0.78
98,SyntheticControl,0.77,0.96,0.88,0.96,0.99,0.89,0.98,0.94,0.96,0.93,0.97,0.97
99,ToeSegmentation1,0.89,0.94,0.91,0.95,0.87,0.87,0.73,0.89,0.81,0.78,0.67,0.82
100,ToeSegmentation2,0.93,0.93,0.92,0.94,0.91,0.93,0.82,0.95,0.85,0.92,0.77,0.93
101,Trace,0.99,1.0,1.0,1.0,0.99,1.0,0.99,1.0,0.97,1.0,0.93,1.0
102,TwoLeadECG,0.88,0.98,0.9,0.99,0.83,0.98,0.91,0.98,0.82,0.97,0.85,0.99
103,TwoPatterns,0.97,0.99,0.94,0.99,0.77,0.96,0.82,0.86,0.72,0.98,0.74,0.9
104,UMD,0.84,0.91,0.88,0.92,0.68,0.79,0.64,0.8,0.74,0.9,0.73,0.93
105,UWaveGestureLibraryX,0.54,0.69,0.6,0.69,0.69,0.71,0.69,0.53,0.7,0.77,0.71,0.61
106,UWaveGestureLibraryY,0.42,0.56,0.47,0.56,0.59,0.62,0.6,0.37,0.61,0.68,0.62,0.42
107,UWaveGestureLibraryZ,0.48,0.61,0.53,0.62,0.64,0.66,0.64,0.45,0.66,0.72,0.66,0.51
108,Wafer,1.0,1.0,1.0,1.0,0.98,1.0,0.99,1.0,0.98,1.0,0.98,1.0
109,Wine,0.85,0.91,0.9,0.89,0.8,0.85,0.77,0.88,0.72,0.87,0.77,0.87
110,WordSynonyms,0.66,0.68,0.67,0.68,0.62,0.63,0.51,0.64,0.64,0.66,0.51,0.68
111,Worms,0.61,0.61,0.57,0.64,0.48,0.53,0.49,0.53,0.45,0.47,0.61,0.51
112,WormsTwoClass,0.69,0.7,0.66,0.71,0.6,0.61,0.6,0.68,0.61,0.64,0.63,0.67
113,Yoga,0.77,0.84,0.8,0.85,0.65,0.79,0.69,0.73,0.64,0.8,0.66,0.76
