dataset_name,HIVE-COTE,RDST,ROCKET,RSAST,TS-CHIEF
ACSF1,,0.768,0.766,0.292,0.86
Adiac,0.8107,0.7549872122762149,0.7675191815856778,0.6250639386189258,0.798
AllGesWiiX,,,,,0.782
AllGesWiiY,,,,,0.7651
AllGesWiiZ,,,,,0.702
AllGestureWiimoteX,,0.7317142857142857,0.76,0.6697142857142857,
AllGestureWiimoteY,,0.8028571428571428,0.8124285714285714,0.7092857142857143,
AllGestureWiimoteZ,,0.6802857142857143,0.6894285714285714,0.6308571428571429,
ArrowHead,0.8629,0.9520000000000002,0.9114285714285714,0.78,0.8229
BME,,0.9866666666666667,1.0,0.9526666666666668,1.0
Beef,0.9333,0.6199999999999999,0.7466666666666667,0.48,0.7333
BeetleFly,0.95,0.9,0.85,0.85,0.95
BirdChicken,0.85,0.95,0.9650000000000001,0.8150000000000001,0.9
CBF,0.9989,0.9991111111111112,0.9921111111111112,0.9823333333333333,0.9978
Car,0.8667,0.9333333333333332,0.9216666666666666,0.9199999999999999,0.85
Chinatown,,0.9644314868804665,0.9518950437317784,0.9495626822157435,0.9816
ChlorineConcentration,0.712,0.7756510416666667,0.8139843750000001,0.7515885416666667,0.7206
CinCECGTorso,0.9964,0.9910869565217391,0.8772463768115942,0.9294202898550724,0.9826
Coffee,1.0,1.0,1.0,1.0,1.0
Computers,0.76,0.8183999999999999,0.8256,0.6748000000000001,0.712
CricketX,0.8231,0.8310256410256411,0.8358974358974359,0.8187179487179487,0.7974
CricketY,0.8487,0.8546153846153846,0.8612820512820513,0.7797435897435897,0.8026
CricketZ,0.8308,0.8497435897435898,0.8505128205128205,0.8123076923076923,0.8359
Crop,,0.7649761904761905,0.7539285714285715,0.6241309523809524,0.7412
DiatomSizeReduction,0.9412,0.9705882352941175,0.9617647058823529,0.9794117647058824,0.9771
DistalPhalanxOutlineAgeGroup,0.7626,0.8086330935251798,0.825179856115108,0.7640287769784173,0.741
DistalPhalanxOutlineCorrect,0.7717,0.822463768115942,0.8438405797101449,0.7847826086956522,0.7862
DistalPhalanxTW,0.6835,0.716546762589928,0.720863309352518,0.7424460431654676,0.6835
DodgerLoopDay,,0.5425,0.5900000000000001,0.48250000000000004,0.6138
DodgerLoopGame,,0.8594202898550725,0.8710144927536232,0.7797101449275362,0.9167
DodgerLoopWeekend,,0.9782608695652174,0.9782608695652174,0.972463768115942,0.9783
ECG200,0.85,0.8789999999999999,0.869,0.865,0.86
ECG5000,0.9462,0.9501333333333333,0.9485555555555555,0.9370666666666667,0.9458
ECGFiveDays,1.0,0.9947735191637632,0.9996515679442508,0.9859465737514519,1.0
EOGHorSig,,,,,0.6439
EOGHorizontalSignal,,0.7823204419889502,0.8113259668508288,0.6632596685082873,
EOGVerSig,,,,,0.5307
EOGVerticalSignal,,0.7129834254143647,0.7964088397790056,0.6798342541436464,
Earthquakes,0.7482,0.7870503597122303,0.7611510791366907,0.7316546762589928,0.7482
ElectricDevices,0.7703,0.9007521722215017,0.8967189728958631,0.8202178705745039,0.7524
EthanolLevel,,0.752,0.678,0.6048,0.5656
FaceAll,0.803,0.9909467455621301,0.9881656804733728,0.9875147928994084,0.8426
FaceFour,0.9545,1.0,0.9772727272727272,1.0,1.0
FacesUCR,0.9629,0.9752682926829268,0.9699024390243902,0.9532682926829269,0.9649
FiftyWords,0.8088,0.8101098901098901,0.8076923076923077,0.7204395604395605,0.8462
Fish,0.9886,0.9879999999999999,0.9799999999999999,0.9651428571428571,0.9943
FordA,0.9644,0.9413636363636364,0.9238636363636363,0.8470454545454545,0.947
FordB,0.8235,0.9219753086419754,0.9108641975308641,0.8387654320987654,0.8321
FreezerRegularTrain,,0.9965964912280703,0.995017543859649,0.9703157894736842,0.998
FreezerSmallTrain,,0.9954736842105263,0.9960350877192983,0.8477894736842104,0.998
Fungi,,0.6344086021505376,0.6344086021505376,0.5913978494623656,1.0
GestureMidAirD1,,0.7384615384615384,0.6953846153846154,0.6461538461538462,0.7038
GestureMidAirD2,,0.5692307692307692,0.6284615384615384,0.5307692307692308,0.6823
GestureMidAirD3,,0.353076923076923,0.3538461538461538,0.3538461538461538,0.4046
GesturePebbleZ1,,0.9848837209302325,0.9680232558139537,0.9343023255813954,0.8866
GesturePebbleZ2,,0.9746835443037973,0.9664556962025316,0.9373417721518986,0.8209
GunPoint,1.0,0.9933333333333332,0.9953333333333333,0.9793333333333333,1.0
GunPointAgeSpan,,0.9933544303797468,0.9905063291139239,0.9699367088607594,0.9946
GunPointMaleVersusFemale,,0.9971518987341772,1.0,0.989240506329114,0.9937
GunPointOldVersusYoung,,1.0,0.9857142857142855,0.9717460317460317,0.9749
Ham,0.6667,0.8542857142857143,0.8419047619047619,0.8085714285714285,0.7143
HandOutlines,0.9324,0.9435135135135134,0.9308108108108109,0.8451351351351353,0.9297
Haptics,0.5195,0.6266233766233766,0.5717532467532467,0.4883116883116883,0.5162
Herring,0.6875,0.6078125,0.609375,0.59375,0.5781
HouseTwenty,,0.9176470588235294,0.9546218487394957,0.8277310924369747,0.9765
InlineSkate,0.5,0.3989090909090909,0.4885454545454545,0.3343636363636363,0.5364
InsEPGRegTra,,,,,1.0
InsEPGSmaTra,,,,,0.9715
InsectEPGRegularTrain,,1.0,0.9959839357429718,0.9104417670682731,
InsectEPGSmallTrain,,0.9867469879518073,0.8678714859437751,0.6879518072289157,
InsectWingbeatSound,0.6551,0.6456565656565656,0.6323232323232324,0.5494444444444444,0.6465
ItalyPowerDemand,0.9631,0.9528668610301263,0.9634596695821186,0.963265306122449,0.9718
LargeKitchenAppliances,0.864,0.9130666666666667,0.9330666666666666,0.7413333333333333,0.7893
Lightning2,0.8197,0.7,0.7868852459016393,0.7491803278688525,0.7705
Lightning7,0.7397,0.6972602739726027,0.7767123287671233,0.7465753424657534,0.7534
Mallat,0.962,0.9474200426439232,0.9258422174840085,0.9105756929637527,0.9774
Meat,0.9333,1.0,1.0,0.9899999999999999,0.9
MedicalImages,0.7776,0.8005263157894736,0.8328947368421054,0.6492105263157895,0.7974
MelbournePedestrian,,0.9559655596555967,0.901271012710127,0.8659286592865929,0.8817
MiddlePhalanxOutlineAgeGroup,0.5974,0.7954545454545455,0.7623376623376623,0.7097402597402598,0.5909
MiddlePhalanxOutlineCorrect,0.8316,0.8422680412371134,0.8615120274914089,0.8106529209621993,0.8522
MiddlePhalanxTW,0.5714,0.6246753246753247,0.6155844155844156,0.5357142857142857,0.5584
MixShaRegTra,,,,,0.9684
MixShaSmaTra,,,,,0.9528
MixedShapesRegularTrain,,0.9766597938144329,0.9663917525773197,0.9093195876288659,
MixedShapesSmallTrain,,0.9521649484536082,0.9204948453608248,0.8011958762886598,
MoteStrain,0.9329,0.9463258785942491,0.9225239616613419,0.8327476038338657,0.9441
NonInvasiveFetalECGThorax1,0.9303,0.9302290076335877,0.9609160305343512,0.8997455470737913,0.9074
NonInvasiveFetalECGThorax2,0.9445,0.938676844783715,0.9611195928753181,0.9333333333333332,0.9445
OSULeaf,0.9793,0.975206611570248,0.9479338842975207,0.715289256198347,0.9876
OliveOil,0.9,0.9,0.9333333333333332,0.8700000000000001,0.9
PLAID,,0.9054003724394786,0.8711359404096835,0.8052141527001861,0.9177
PhalangesOutlinesCorrect,0.8065,0.8501165501165501,0.8614219114219115,0.7994172494172493,0.8485
Phoneme,0.3824,0.3196729957805907,0.2708860759493671,0.22985232067510544,0.3608
PicGesWiiZ,,,,,0.76
PickupGestureWiimoteZ,,0.778,0.772,0.708,
PigAirPre,,,,,0.888
PigAirwayPressure,,0.5350961538461538,0.3052884615384615,0.2985576923076923,
PigArtPressure,,0.8024038461538462,0.8057692307692308,0.6072115384615385,0.9812
PigCVP,,0.7033653846153847,0.7552884615384615,0.6105769230769231,0.9678
Plane,1.0,1.0,1.0,1.0,1.0
PowerCons,,0.9833333333333332,0.9311111111111112,0.8661111111111112,0.9389
ProximalPhalanxOutlineAgeGroup,0.8585,0.8829268292682928,0.868780487804878,0.8331707317073171,0.8488
ProximalPhalanxOutlineCorrect,0.8797,0.884192439862543,0.9061855670103093,0.8556701030927835,0.8969
ProximalPhalanxTW,0.8146,0.8268292682926829,0.8278048780487804,0.8126829268292683,0.8146
RefrigerationDevices,0.5573,0.7767999999999999,0.7429333333333333,0.6232,0.5387
Rock,,0.624,0.646,0.762,0.922
ScreenType,0.5893,0.6557333333333333,0.6253333333333333,0.4498666666666667,0.504
SemHanGenCh2,,,,,0.8715
SemHanMovCh2,,,,,0.7624
SemHanSubCh2,,,,,0.9236
SemgHandGenderCh2,,0.9323333333333335,0.9323333333333332,0.8961666666666666,
SemgHandMovementCh2,,0.7157777777777777,0.6831111111111111,0.616,
SemgHandSubjectCh2,,0.8879999999999999,0.918888888888889,0.920888888888889,
ShaGesWiiZ,,,,,0.866
ShakeGestureWiimoteZ,,0.96,0.8400000000000001,0.796,
ShapeletSim,1.0,0.9988888888888889,1.0,0.47777777777777775,1.0
ShapesAll,0.905,0.942,0.909,0.7413333333333333,0.93
SmallKitchenAppliances,0.8533,0.8346666666666668,0.8333333333333334,0.7322666666666666,0.816
SmoothSubspace,,0.9986666666666666,0.9946666666666666,0.8620000000000001,1.0
SonyAIBORobotSurface1,0.7654,0.8935108153078202,0.9505823627287855,0.9524126455906823,0.827
SonyAIBORobotSurface2,0.9276,0.9254984260230849,0.9417628541448059,0.9057712486883526,0.9286
StarLightCurves,0.9815,0.9799174356483731,0.9794439048081592,0.9606483729966003,0.982
Strawberry,0.9703,0.9856756756756756,0.9913513513513514,0.9475675675675677,0.9676
SwedishLeaf,0.9536,0.96784,0.97184,0.87408,0.9664
Symbols,0.9739,0.9414070351758793,0.9655276381909548,0.7838190954773869,0.9799
SyntheticControl,0.9967,0.9926666666666666,0.9996666666666666,0.9573333333333334,1.0
ToeSegmentation1,0.9825,0.9421052631578947,0.9578947368421051,0.9416666666666667,0.9693
ToeSegmentation2,0.9538,0.9684615384615384,0.8876923076923078,0.9307692307692308,0.9538
Trace,1.0,1.0,1.0,0.999,1.0
TwoLeadECG,0.9965,0.99657594381036,0.9991220368744512,0.9812115891132572,0.9965
TwoPatterns,1.0,1.0,1.0,0.991775,1.0
UMD,,1.0,0.986111111111111,0.9125,0.9889
UWaveGestureLibraryAll,0.9685,0.9791457286432161,0.9740089335566722,0.9698213288665549,0.9687
UWaveGestureLibraryX,0.8398,0.8515354550530431,0.8493020658849805,0.6869905080960358,0.8417
UWaveGestureLibraryY,0.7655,0.7782244556113903,0.7952261306532663,0.5572585147962033,0.7716
UWaveGestureLibraryZ,0.7831,0.7770240089335567,0.7860413176996092,0.6092964824120604,0.7797
Wafer,0.9994,1.0,0.9988805970149253,1.0,0.9989
Wine,0.7778,0.9814814814814816,0.912962962962963,0.9092592592592592,0.8889
WordSynonyms,0.7382,0.7567398119122257,0.7478056426332288,0.6807210031347962,0.7868
Worms,0.5584,0.687012987012987,0.7402597402597403,0.6272727272727272,0.7922
WormsTwoClass,0.7792,0.7051948051948053,0.6649350649350649,0.7012987012987013,0.8182
Yoga,0.9177,0.9244999999999999,0.9022,0.8428666666666667,0.8483
